Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age_Group,Day of week,Time of day
20172019,Vic,10,2017,Tuesday,21:00,Multiple,No,No,No,40,Motorcycle rider,Male,32,Major Cities of Australia,Melbourne - Inner,Moonee Valley (C),Sub-arterial Road,No,No,26_to_39,Weekday,Night
20171257,NSW,10,2017,Wednesday,21:00,Single,No,No,No,50,Driver,Male,36,Outer Regional Australia,Far West and Orana,Warrumbungle,Access road,No,No,26_to_39,Weekday,Night
20173117,Qld,10,2017,Thursday,0:00,Single,No,No,No,80,Driver,Male,29,,,,,No,No,26_to_39,Weekday,Night
20174012,SA,10,2017,Sunday,19:00,Multiple,No,No,No,90,Passenger,Male,24,Major Cities of Australia,Adelaide - North,Salisbury (C),Local Road,No,No,17_to_25,Weekend,Night
20175090,WA,10,2017,Wednesday,19:00,Single,No,No,No,60,Driver,Female,43,,,,,No,No,40_to_64,Weekday,Night
20173140,Qld,10,2017,Wednesday,5:00,Multiple,No,No,No,60,Motorcycle rider,Male,57,,,,,No,No,40_to_64,Weekday,Night
20172037,Vic,10,2017,Monday,23:00,Multiple,No,No,No,60,Driver,Female,53,Major Cities of Australia,Melbourne - Inner South,Monash (C),Local Road,No,No,40_to_64,Weekday,Night
20173030,Qld,10,2017,Monday,18:00,Multiple,No,No,No,110,Driver,Female,40,,,,,No,No,40_to_64,Weekday,Night
20171053,NSW,10,2017,Thursday,4:00,Single,No,No,No,110,Passenger,Female,56,Outer Regional Australia,Riverina,Murrumbidgee,National or State Highway,No,No,40_to_64,Weekday,Night
20176028,Tas,10,2017,Sunday,12:00,Single,No,No,No,100,Driver,Male,78,Outer Regional Australia,West and North West,Latrobe (M) (Tas.),Arterial Road,No,No,75_or_older,Weekend,Day
20172231,Vic,10,2017,Saturday,15:00,Single,Yes,No,No,100,Passenger,Female,87,Inner Regional Australia,Ballarat,Pyrenees (S),National or State Highway,No,No,75_or_older,Weekend,Day
20171100,NSW,10,2017,Sunday,6:00,Single,No,No,No,100,Passenger,Male,37,Inner Regional Australia,Mid North Coast,Mid-Coast,Sub-arterial Road,No,No,26_to_39,Weekend,Day
20174007,SA,10,2017,Sunday,7:00,Multiple,No,No,No,50,Pedal cyclist,Male,62,Major Cities of Australia,Adelaide - North,Salisbury (C),Sub-arterial Road,No,No,40_to_64,Weekend,Day
20173048,Qld,10,2017,Sunday,11:00,Multiple,No,No,No,100,Motorcycle rider,Male,58,,,,,No,No,40_to_64,Weekend,Day
20172175,Vic,10,2017,Sunday,13:00,Single,No,No,No,110,Passenger,Female,46,Inner Regional Australia,Hume,Strathbogie (S),National or State Highway,No,No,40_to_64,Weekend,Day
20171019,NSW,10,2017,Saturday,2:00,Single,No,No,No,60,Pedestrian,Male,20,Major Cities of Australia,Sydney - Ryde,Hunters Hill,Arterial Road,No,No,17_to_25,Weekend,Night
20173097,Qld,10,2017,Sunday,12:00,Single,No,No,No,110,Passenger,Male,62,,,,,No,No,40_to_64,Weekend,Day
20171084,NSW,10,2017,Sunday,17:00,Multiple,No,No,No,80,Passenger,Female,62,Major Cities of Australia,Sydney - Sutherland,Sutherland,Arterial Road,No,No,40_to_64,Weekend,Day
20171206,NSW,10,2017,Sunday,14:00,Multiple,No,No,No,80,Motorcycle rider,Male,48,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,National or State Highway,No,No,40_to_64,Weekend,Day
20175107,WA,10,2017,Sunday,10:00,Multiple,No,No,No,80,Pedal cyclist,Male,69,Major Cities of Australia,Perth - North West,Joondalup (C),Arterial Road,No,No,65_to_74,Weekend,Day
20172231,Vic,10,2017,Saturday,15:00,Single,Yes,No,No,100,Passenger,Female,71,Inner Regional Australia,Ballarat,Pyrenees (S),National or State Highway,No,No,65_to_74,Weekend,Day
20173048,Qld,10,2017,Sunday,11:00,Multiple,No,No,No,100,Motorcycle rider,Male,78,,,,,No,No,75_or_older,Weekend,Day
20175121,WA,10,2017,Saturday,13:00,Single,No,No,No,110,Driver,Male,61,Very Remote Australia,Western Australia - Outback (North),Broome (S),Local Road,No,No,40_to_64,Weekend,Day
20175035,WA,10,2017,Monday,8:00,Multiple,No,Yes,No,50,Driver,Female,77,Major Cities of Australia,Perth - North East,Swan (C),Local Road,No,No,75_or_older,Weekday,Day
20175055,WA,10,2017,Monday,12:00,Multiple,No,No,No,50,Motorcycle rider,Male,19,Inner Regional Australia,Bunbury,Collie (S),Local Road,No,No,17_to_25,Weekday,Day
20171006,NSW,10,2017,Saturday,22:00,Single,No,No,No,60,Passenger,Male,37,Major Cities of Australia,Sydney - South West,Camden,Sub-arterial Road,No,No,26_to_39,Weekend,Night
20171025,NSW,10,2017,Thursday,13:00,Multiple,No,Yes,No,60,Motorcycle rider,Male,18,Major Cities of Australia,Sydney - South West,Fairfield,Local Road,No,No,17_to_25,Weekday,Day
